Media Busca em Largura,Desvio Padrao Busca em Largura,Media Busca em Profundidade,Desvio Padrao Busca em Profundidade,Teste-T
0.0047,0.0007,0.0127,0.0012,-41.5960
0.0049,0.0018,0.0128,0.0027,-16.9947
0.0041,0.0009,0.0109,0.0014,-28.8086
0.0042,0.0020,0.0108,0.0036,-11.1447
0.0049,0.0007,0.0138,0.0031,-19.8528
0.0047,0.0008,0.0124,0.0023,-22.4823
0.0048,0.0010,0.0154,0.0083,-8.9468
0.0052,0.0007,0.0136,0.0020,-28.5651
0.0057,0.0006,0.0148,0.0019,-32.4186
0.0106,0.0098,0.0292,0.0251,-4.8968
0.0073,0.0034,0.0251,0.0304,-4.1030
0.0074,0.0040,0.0183,0.0045,-12.8832
0.0061,0.0008,0.0156,0.0023,-27.5626
0.0071,0.0025,0.0181,0.0033,-18.6139
0.0066,0.0014,0.0166,0.0012,-39.0046
0.0065,0.0014,0.0198,0.0119,-7.8141
0.0063,0.0009,0.0173,0.0022,-33.4467
0.0067,0.0009,0.0207,0.0161,-6.1652
0.0065,0.0008,0.0178,0.0018,-40.8861
0.0069,0.0023,0.0183,0.0035,-19.1888
0.0064,0.0018,0.0195,0.0086,-10.5098
0.0062,0.0009,0.0195,0.0121,-7.7443
0.0065,0.0016,0.0177,0.0056,-13.6551
0.0068,0.0024,0.0171,0.0035,-17.0237
0.0064,0.0016,0.0165,0.0032,-19.8673
0.0053,0.0008,0.0133,0.0020,-26.9458
0.0053,0.0007,0.0143,0.0021,-28.2925
0.0056,0.0010,0.0142,0.0019,-27.8423
0.0055,0.0009,0.0142,0.0021,-26.4484
0.0058,0.0017,0.0140,0.0015,-25.7261
0.0060,0.0015,0.0152,0.0026,-21.9054
0.0058,0.0010,0.0151,0.0022,-27.6576
0.0062,0.0011,0.0155,0.0020,-28.5956
0.0061,0.0009,0.0163,0.0022,-30.8430
0.0061,0.0011,0.0153,0.0020,-28.6362
0.0054,0.0007,0.0144,0.0017,-35.4000
0.0064,0.0010,0.0179,0.0065,-12.4385
0.0061,0.0016,0.0162,0.0063,-11.0140
0.0057,0.0011,0.0146,0.0026,-21.9956
0.0082,0.0101,0.0179,0.0024,-6.5380
0.0073,0.0020,0.0184,0.0030,-21.4946
0.0070,0.0010,0.0179,0.0020,-34.4983
0.0069,0.0010,0.0184,0.0031,-24.5055
0.0057,0.0011,0.0146,0.0021,-26.6902
0.0041,0.0012,0.0101,0.0025,-15.5654
0.0055,0.0009,0.0144,0.0014,-38.4790
0.0056,0.0010,0.0144,0.0035,-17.1116
0.0055,0.0008,0.0141,0.0010,-46.7441
0.0058,0.0010,0.0152,0.0026,-23.8686
0.0066,0.0015,0.0176,0.0034,-21.1283
0.0001,0.0000,0.0004,0.0001,-0.4226